,HIP,Parallax,RA,Dec,Vmag,Spectral_Type,Distance
14293,20754 H,10.03,042649.60,+581426.7,8.13,G,99.70089730807578
14296,20762,21.83,042654.28,+130817.6,10.48,G,45.80852038479158
14303,20769 H,15.26,042700.56,+190704.7,7.69,G,65.53079947575361
14305,20771,8.26,042700.66,+020446.4,6.23,G,121.06537530266344
14314,20780,8.04,042704.86,+181227.3,6.94,G,124.37810945273633
14318,20794,15.28,042722.19,+070345.0,7.58,G,65.44502617801048
14324,20810,8.66,042732.30,+152155.5,11.05,G,115.47344110854503
14325,20816,3.87,042735.96,+063643.2,9.12,G,258.39793281653743
14331,20827,17.29,042746.97,+142504.1,9.48,G,57.8368999421631
14338,20834,24.05,042752.69,+242640.2,9.4,G,41.58004158004158
14339,20835,4.17,042754.75,+431952.1,7.74,G,239.80815347721824
14346,20842,20.85,042800.72,+213712.0,5.72,G,47.961630695443645
14349,20845 H,9.35,042802.97,+100419.9,7.46,G,106.95187165775401
14352,20848,9.33,042803.62,+015130.9,6.14,G,107.18113612004286
14354,20850,21.29,042804.37,+135204.7,9.02,G,46.97040864255519
14356,20852,6.6,042805.34,+080917.4,7.0,G,151.51515151515153
14364,*20865,7.6,042820.20,+793843.6,8.99,G,131.57894736842107
14372,20873,18.42,042823.34,+144427.7,5.9,G,54.28881650380021
14379,20890,20.09,042837.15,+194426.8,8.62,G,49.77600796416127
14384,20895 H,25.0,042839.78,+261312.6,10.92,G,40.0
14391,20902,13.38,042850.21,+022218.4,8.01,G,74.73841554559043
14399,20910,11.4,042854.34,+550001.9,7.67,G,87.71929824561403
14400,20916 H,20.58,042859.72,+160933.0,6.59,G,48.590864917395535
14420,20951,24.19,042931.54,+175335.7,8.95,G,41.339396444811904
14421,20952,7.68,042932.58,+135341.1,7.72,G,130.20833333333334
14429,20960 H,7.07,042940.70,+121033.1,8.33,G,141.44271570014143
14435,20971 H,4.85,042948.12,+174039.4,7.73,G,206.18556701030928
14452,20988,9.0,043003.71,+323042.0,7.67,G,111.11111111111111
14459,20995 H,22.93,043008.53,+153816.4,5.58,G,43.61098996947231
14470,21006,35.53,043016.68,+005848.2,10.45,G,28.145229383619476
14478,21019,3.52,043026.60,+203252.3,9.74,G,284.09090909090907
14482,21023,6.95,043029.28,+460901.7,7.83,G,143.88489208633092
14496,21037,4.0,043037.75,+620411.5,8.92,G,250.0
14510,21066,22.96,043057.11,+104506.5,7.03,G,43.55400696864111
14513,21069,19.02,043058.96,+353558.3,8.59,G,52.576235541535226
14527,21088 H,181.36,043110.05,+585855.4,10.82,G,5.513895015438906
14528,21089,4.96,043110.43,+184913.0,10.6,G,201.61290322580646
14531,21092 H,19.64,043111.44,+015728.2,12.38,G,50.91649694501018
14538,21099,21.81,043115.63,+200759.8,8.59,G,45.850527281063734
14551,21112,19.46,043129.29,+135412.7,7.78,G,51.3874614594039
14559,21120,4.72,043135.77,+225042.4,7.51,G,211.86440677966104
14562,21123,23.41,043137.04,+174235.5,9.53,G,42.716787697565145
14565,21126,3.94,043141.50,+555307.4,8.53,G,253.80710659898477
14577,21138,15.11,043152.41,+152958.3,11.02,G,66.18133686300463
14598,21174,9.16,043221.80,+251108.0,7.44,G,109.17030567685589
14600,21176 H,2.94,043223.97,+103823.8,8.87,G,340.13605442176873
14605,21186 H,24.04,043230.41,+040823.8,11.03,G,41.597337770382694
14611,21197,25.01,043240.90,+340809.4,10.89,G,39.98400639744102
14638,21229,10.97,043315.42,+645918.2,7.49,G,91.15770282588878
14640,21231,13.27,043316.00,+552744.6,7.72,G,75.35795026375283
14655,*21251 H,7.71,043333.04,+180100.3,6.24,G,129.70168612191958
14660,21256,24.98,043337.11,+210903.5,10.69,G,40.0320256204964
14664,21260,2.05,043340.44,+592841.3,8.28,G,487.80487804878055
14665,21261,21.06,043341.87,+190050.8,10.74,G,47.48338081671415
14671,21267,22.8,043346.58,+131506.9,6.62,G,43.859649122807014
14673,21269,6.93,043348.18,+092449.0,6.01,G,144.3001443001443
14676,21272,37.33,043350.45,+052308.5,7.92,G,26.788106080900082
14689,21285,7.43,043401.95,+334640.5,8.75,G,134.58950201884252
14693,21289,0.27,043404.46,+453808.9,7.7,G,3703.7037037037035
14694,21290,5.14,043404.50,+430514.9,7.37,G,194.5525291828794
14705,21306,12.62,043425.95,+124406.1,9.68,G,79.2393026941363
14716,21317,23.19,043435.25,+153016.9,7.9,G,43.12203536006899
14722,21328 H,6.46,043439.13,+510011.7,7.82,G,154.79876160990713
14725,21341 H,6.42,043445.42,+224132.6,6.78,G,155.76323987538942
14732,21348,8.69,043450.18,+225325.4,9.71,G,115.07479861910242
14734,21350,3.54,043452.72,+182448.3,8.06,G,282.4858757062147
14737,21353,6.81,043453.95,+280352.3,9.23,G,146.84287812041117
14745,21376,7.56,043513.25,+385327.9,8.19,G,132.27513227513228
14753,21384,9.83,043521.82,+604441.5,11.66,G,101.7293997965412
14761,21397,12.92,043535.43,+323447.5,8.45,G,77.39938080495357
14766,21402 H,21.68,043539.23,+100939.3,4.25,G,46.125461254612546
14791,21437,5.74,043615.08,+472215.9,7.58,G,174.21602787456445
14795,21441,0.27,043617.25,+523021.8,8.67,G,3703.7037037037035
14796,21442,11.19,043617.56,+214121.8,8.18,G,89.36550491510278
14803,*21454 H,12.98,043624.76,+341233.3,9.2,G,77.04160246533128
14807,21468,8.68,043637.93,+365710.5,6.62,G,115.20737327188941
14815,21476,5.08,043641.43,+411553.5,4.25,G,196.8503937007874
14817,21478,10.59,043644.58,+271519.5,9.43,G,94.42870632672333
14820,21491,7.94,043656.38,+345706.9,8.48,G,125.94458438287153
14848,21549,9.17,043737.34,+045858.1,7.62,G,109.05125408942203
14852,21553,98.12,043740.64,+525341.2,8.62,G,10.19160211985324
14854,21555,3.42,043741.94,+715339.9,7.91,G,292.39766081871346
14857,*21558,7.18,043743.55,+785912.2,7.37,G,139.2757660167131
14863,*21574,2.12,043758.51,+433542.5,10.52,G,471.6981132075471
14865,21581 H,2.61,043803.50,+570638.4,8.28,G,383.1417624521073
14873,21589,21.79,043809.40,+123039.1,4.27,G,45.892611289582376
14891,21612,7.63,043822.91,+392658.2,8.41,G,131.06159895150722
14898,21619 H,14.29,043829.49,+265621.9,6.56,G,69.97900629811058
14908,21654,20.81,043857.25,+140620.3,7.96,G,48.05382027871216
14922,21673,21.49,043909.20,+154800.1,5.08,G,46.53327128897162
14928,21679,6.37,043914.43,+314429.5,7.92,G,156.98587127158555
14933,21684,9.56,043917.49,+111554.8,9.68,G,104.60251046025104
14938,21689,8.97,043923.14,+251305.9,6.21,G,111.48272017837235
14952,21703,17.64,043936.36,+130724.4,8.93,G,56.68934240362812
14961,21712,9.86,043943.24,+511229.8,8.83,G,101.41987829614605
14972,21723,23.95,043950.91,+124342.7,10.04,G,41.75365344467641
14974,21725,3.17,043952.19,+172921.4,7.91,G,315.45741324921136
14979,21730 H,11.76,043958.03,+532823.7,5.36,G,85.03401360544218
14983,21739,4.72,044005.58,+003302.5,8.57,G,211.86440677966104
14985,21741,15.96,044005.80,+231816.7,9.4,G,62.65664160401002
14986,21742,6.0,044006.79,+330803.2,8.63,G,166.66666666666666
14994,21760,13.17,044022.65,+295820.4,6.8,G,75.9301442672741
14996,21762 H,23.65,044025.41,+163049.4,9.47,G,42.28329809725159
15005,21776,6.0,044039.33,+084045.4,12.6,G,166.66666666666666
15012,21783,16.13,044046.78,+301730.0,8.04,G,61.99628022318661
15019,21795 H,2.59,044056.21,+005746.0,7.67,G,386.1003861003861
15021,21797,4.4,044057.66,+023020.4,8.08,G,227.27272727272725
15031,21807,11.12,044104.91,+500359.5,8.09,G,89.92805755395685
15037,21813,5.64,044108.04,+255934.0,8.31,G,177.3049645390071
15051,21832,35.31,044135.90,+420710.1,7.29,G,28.32058906825262
15087,21873,9.15,044209.76,+155811.8,8.09,G,109.2896174863388
15093,21884,30.76,044216.10,+574231.8,11.37,G,32.50975292587776
15116,21912,17.92,044243.97,+163051.0,11.3,G,55.80357142857142
15121,21932,106.16,044255.37,+185739.2,9.95,G,9.419743782969103
15126,21937 H,6.5,044257.93,+530818.3,8.11,G,153.84615384615384
15127,21938,3.81,044258.49,+171840.1,8.23,G,262.4671916010499
15130,21946,21.1,044301.37,+184242.7,9.92,G,47.393364928909946
15140,*21976,2.92,044327.30,+045749.7,8.07,G,342.4657534246575
15147,21983,21.48,044331.68,+110959.9,10.29,G,46.554934823091244
15152,21988,44.74,044335.40,+274117.0,8.0,G,22.35136343316942
15181,22032,20.46,044411.07,+465756.4,8.77,G,48.87585532746823
15188,22049,2.22,044432.84,+384458.2,8.72,G,450.45045045045043
15199,22060,7.82,044441.93,+255609.8,10.13,G,127.8772378516624
15221,22092,11.54,044512.32,+350929.6,7.85,G,86.65511265164645
15229,22105,9.08,044527.74,+192057.0,9.32,G,110.13215859030836
15232,22108,2.33,044528.76,+301654.4,9.44,G,429.18454935622316
15259,22175,31.11,044616.47,+031607.3,7.81,G,32.14400514304082
